time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.80552806665e-07,-9.9472784752e-07,10.0013535627,6.28257985082,0.000475097354683,0.0,-5.57539118455e-05,-7.10521412134e-05,0.0451175690412,-0.0201821344395,0.0158368695216,0.0,418.2141059680951,419.59091576937993,420.2242471024986,418.4715178040952
0.12000000000000001,-1.99941722847e-05,-2.5858105423e-05,10.0099598857,6.28085070618,0.00168630505012,0.0,-0.000715459437497,-0.000938758141105,0.241737780948,-0.0374549795518,0.0245364433321,0.0,465.53008200257125,466.2101213081294,467.9206867718515,466.5742147963026
0.18,-9.7823210126e-05,-0.000130924431243,10.0247635769,6.27902604652,0.00298061391821,0.0,-0.00199887230259,-0.00273774441266,0.251715560708,-0.0233682951629,0.0186074867113,0.0,408.15275042571517,407.6234349847847,406.2960106903016,407.556254407377
0.23999999999999996,-0.000275193790366,-0.000377979627737,10.0404475026,6.27623247477,0.00365492921859,0.0,-0.00398747560301,-0.00570724911184,0.271076088658,-0.0697454265053,0.00386991884167,0.0,410.87594485541575,409.5674261315235,413.0207478597296,408.90964109879974
0.3,-0.000596348927635,-0.000890385514391,10.0611277883,6.27236866938,0.00403201845195,0.0,-0.00675337557236,-0.0118054023475,0.418220007785,-0.0590504480483,0.0086998176524,0.0,451.3591641996237,451.74863235675224,451.45247540171175,452.3112812152751
0.36000000000000004,-0.00108374733169,-0.00182316051012,10.0881192842,6.26878150029,0.0054103283519,0.0,-0.00959867915566,-0.0196318012894,0.481466862707,-0.0605215665609,0.0372429184368,0.0,423.6388647299381,426.0857259296479,425.7862081029139,425.65768556427867
0.4200000000000001,-0.00180996568663,-0.00339698048166,10.1256100424,6.26516540553,0.00646969007266,0.0,-0.0147958982068,-0.0332960826285,0.768068246337,-0.0600150244668,-0.00192884304965,0.0,494.78285546715557,491.8910811304711,492.4046543134606,492.43992551638456
0.48000000000000015,-0.0028500416515,-0.00583731491965,10.1776864421,6.26129110485,0.00624883759351,0.0,-0.0198506681933,-0.0484873678122,0.967655232428,-0.0691264441659,-0.00543301219976,0.0,467.1907469908799,466.9175462275027,469.5083665641523,468.798357118755
0.5400000000000001,-0.00417832934874,-0.00924971906404,10.2403315099,6.25768775512,0.00568699161813,0.0,-0.0243716896905,-0.0656720122923,1.12036638919,-0.0509889916135,-0.0132952637442,0.0,454.4589303519214,453.8284917742055,453.8074048881922,455.25796535028866
0.6000000000000002,-0.00577276415421,-0.0138084095076,10.3136091111,6.25457968956,0.00523839897332,0.0,-0.0287088364878,-0.0866408686976,1.32199895212,-0.0526129315419,-0.00165776160752,0.0,468.883148659446,469.7863915602702,469.48747193633943,469.3599180381914
0.6600000000000003,-0.00760221672194,-0.0196020585515,10.3956739383,6.2517855368,0.00533914790206,0.0,-0.0322757942236,-0.106771447333,1.41337680561,-0.0405273314657,0.00501629817394,0.0,435.6298009929934,436.1874541726765,435.59943825994753,436.60730991116947
0.7200000000000003,-0.009634137669,-0.0265701872183,10.4804540624,6.2494937441,0.00574291817778,0.0,-0.0354871270814,-0.12570356367,1.41262053602,-0.0358662985254,0.0084427593282,0.0,405.10940741888186,405.4172683456726,406.19334717066863,406.61017845185404
0.7800000000000004,-0.0118908833648,-0.03485513806,10.5693132461,6.24713578985,0.00646500956984,0.0,-0.0398065997985,-0.150701849249,1.54916650906,-0.0427314235478,0.0156269428803,0.0,449.7013603978567,450.28274250422896,451.19586082173055,450.6406383862362
0.8400000000000004,-0.0144343134614,-0.0447575899288,10.6681216452,6.24424915524,0.00680023701522,0.0,-0.0450348518146,-0.17969282659,1.74415518436,-0.0534882148229,-0.00445284156462,0.0,469.47920560899416,467.91866837716225,468.82444905064017,467.9868344865654
0.9000000000000005,-0.0172703054327,-0.0563183141727,10.7747954088,6.24094568871,0.00704804675691,0.0,-0.0495049416915,-0.205979159647,1.8115171431,-0.0566267837847,0.0127136512634,0.0,429.043125318349,430.4980171626146,429.6237849347444,429.35550821905207
0.9600000000000005,-0.0203848164953,-0.0695409522831,10.8859728749,6.23807617185,0.00735103454029,0.0,-0.0543565807979,-0.235073471009,1.89424823313,-0.0390266060941,-0.00261421662074,0.0,435.1650843559856,433.880112211339,434.43545430890237,435.9068895128067
1.0200000000000005,-0.0237987566263,-0.0845949771449,11.0028096027,6.23634318573,0.00704204563453,0.0,-0.0594135743588,-0.266919607064,2.00011753227,-0.0187413601089,-0.0076855351109,0.0,442.93100577952123,442.5138459372929,441.47509888478226,443.1451780135116
1.0800000000000005,-0.0275213050873,-0.101666225512,11.1275874509,6.23587346758,0.00732460982725,0.0,-0.0646732417595,-0.30218641093,2.15885016117,0.00308401619587,0.0171049783075,0.0,458.3247531532513,460.290719908206,458.33758412744515,460.06889682815665
1.1400000000000006,-0.0315671916889,-0.120855541509,11.2617904734,6.23609591755,0.00700513457585,0.0,-0.0702017206445,-0.337422223528,2.31427908858,0.00433101784217,-0.0277546865938,0.0,460.59807049971283,457.0367023842783,458.8680036745435,458.96691166760127
1.2000000000000006,-0.0359014790546,-0.141964087163,11.4012612219,6.23583132042,0.00505983951558,0.0,-0.0741071476336,-0.36620463869,2.33470206428,-0.0131513949526,-0.03708770806,0.0,417.05296068865385,416.2366055774739,417.1904205639301,415.6612079075851
